"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","139/3301","434/18860",0.320276497695853,1.82987420373941,8.0562483975944,7.53294089487711e-14,3.33571171478341e-10,2.94549659886339e-10,"ABRAXAS1/ACTB/AKAP8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANKRD31/APC/ARHGEF10/ARID1B/ATM/AURKA/BAG6/BCCIP/BCL7A/BCL7B/BUB3/CCDC86/CCNB1/CCNE2/CDC42/CDC6/CDK1/CDT1/CENPF/CENPN/CENPO/CENPT/CENPU/CEP192/CEP63/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CLASP1/CSNK2A2/DDX3X/DPF2/DSN1/DYNC1H1/EHMT2/EML4/ERCC2/FBXO5/GEN1/GPSM2/HASPIN/HAUS3/HAUS6/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KLHL22/KNL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MAPRE2/MAPRE3/MCMDC2/MIS12/MIS18A/MLH1/MLH3/MMS19/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDEL1/NEK6/NSMCE2/NTMT1/NUMA1/NUP62/PLSCR1/PPP2R2D/PRDM9/PUM2/RAB24/RAD18/RAD21/RAN/RCC1/RCC2/RECQL5/RHOA/RIOK2/RMDN1/RNF212/RNF4/SEH1L/SIRT7/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SMC5/SMC6/SPATA22/SPC24/SPDL1/SPICE1/SPO11/SRPK1/STAG1/STAG2/STAG3/SYCE1/TENT4A/TEX15/TLK1/TOP1/TUBB/TUBB8/TUBG1/TUBG2/TUBGCP3/TUBGCP4/UBE2I/UHRF1/VPS4B/WAPL/ZCWPW1/ZWINT",139
"GO:0044772","mitotic cell cycle phase transition","145/3301","461/18860",0.314533622559653,1.79706274506969,7.98062888218231,1.09135014388464e-13,3.33571171478341e-10,2.94549659886339e-10,"ABRAXAS1/ACTB/ACVR1B/AKT1/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANLN/APC/APPL2/ARID1B/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CACUL1/CALM3/CCNB1/CCND1/CCND3/CCNE2/CCNF/CCNH/CCNI/CCNJL/CCNP/CDC14A/CDC14B/CDC25B/CDC25C/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN2A/CDKN2C/CENPF/CHFR/CHMP2A/CHMP7/CKS2/CLASP1/CPSF3/CUL2/DACT1/DDX3X/DNM2/DPF2/DTL/EIF4EBP1/ERCC2/EZH2/FBXL15/FBXO31/FBXO5/FBXO7/FHL1/FOXO4/FZR1/GEN1/GSPT1/HASPIN/ID2/INHBA/INTS3/KANK2/KCNH5/KDM8/KHDRBS1/KLHL22/KNL1/MAD1L1/MAD2L1/MARK3/MEPCE/MRNIP/MYB/NABP2/NAE1/NEK6/NEUROG1/NFIB/NSMCE2/PABIR1/PIAS1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/POLE/PPM1D/PPME1/PPP2CA/PPP2R2D/PPP6C/PRKDC/PRMT2/RAD21/RBBP8/RBL2/RBX1/RCC1/RCC2/RIOK2/SENP2/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SPAST/SPC24/SPDL1/TAOK1/TAOK2/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UBE2S/UIMC1/USP37/USP38/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",145
"GO:0006302","double-strand break repair","109/3301","334/18860",0.326347305389222,1.86455927889752,7.34291383099437,1.02757435832435e-11,2.06721662637084e-08,1.82539141949937e-08,"ABRAXAS1/ACTB/ACTR8/AP5S1/APLF/ARID1B/ATM/BABAM2/BCL7A/BCL7B/BRME1/C1QBP/CDC45/CDC7/CHD4/CSNK2A2/DDX11/DEK/DNA2/DPF2/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HMGA2/HSF1/HTATSF1/INTS3/KASH5/KDM2A/LIG3/LIG4/MAJIN/MBTD1/MCM2/MCM4/MCM6/MCMDC2/MEAF6/MLH1/MMS22L/MORF4L1/MRGBP/MRNIP/NABP2/NHEJ1/NSMCE2/NSMCE3/NSMCE4A/OGG1/PALB2/PARP1/PARP2/PARP3/PIAS1/PIAS4/PML/POLA1/POLN/PPP4R2/PPP5C/PRDM9/PRKDC/RAD21/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RPA1/RTEL1/SAMHD1/SENP3/SETMAR/SFR1/SHLD2/SIRT6/SLX4/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SMC6/SMCHD1/SPIRE2/SPO11/TDP1/TDP2/TENT4A/TEX15/TWIST1/UHRF1/UIMC1/XRCC1/XRCC2/YEATS4/YY1/ZCWPW1/ZGRF1",109
"GO:0098813","nuclear chromosome segregation","106/3301","323/18860",0.328173374613003,1.87499237964291,7.30595611121455,1.35266914861498e-11,2.06721662637084e-08,1.82539141949937e-08,"ABRAXAS1/ACTB/AKAP8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANKRD31/APC/ARHGEF10/ARID1B/ATM/AURKA/BAG6/BCCIP/BCL7A/BCL7B/BUB3/CCNB1/CCNE2/CDC42/CDC6/CDK1/CDT1/CENPF/CEP192/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CLASP1/DPF2/DSN1/DYNC1H1/EHMT2/EML4/FBXO5/GEN1/HASPIN/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KLHL22/KNL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MCMDC2/MIS12/MLH1/MLH3/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NEK6/NSMCE2/NUMA1/NUP62/PRDM9/RAB24/RAD21/RAN/RCC1/RCC2/RHOA/RIOK2/RMDN1/RNF212/SEH1L/SIRT7/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SPATA22/SPC24/SPDL1/SPICE1/SPO11/STAG1/STAG2/STAG3/SYCE1/TENT4A/TEX15/TUBB8/TUBG1/TUBG2/UHRF1/VPS4B/WAPL/ZCWPW1/ZWINT",106
"GO:0000280","nuclear division","135/3301","453/18860",0.298013245033113,1.7026748867993,6.97273691322092,5.53529637478101e-11,6.76745334780727e-08,5.97578943365832e-08,"ABRAXAS1/AKAP8/ANAPC11/ANAPC7/ANKRD31/ANLN/APC/ARHGEF10/ASZ1/ATM/AURKA/BAG6/BCCIP/BMP7/BRME1/BROX/BUB3/CCDC86/CCNB1/CCNE2/CDC14A/CDC14B/CDC25B/CDC25C/CDC42/CDK1/CDT1/CENPF/CEP192/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CKS2/CLASP1/DAPK3/DMRT1/EHMT2/EML4/ERCC4/FANCA/FBXO5/FBXW5/FIGNL1/FZR1/GEN1/HASPIN/HNRNPU/HORMAD1/HSF1/IGF2/ING2/KASH5/KCTD19/KIF11/KIF2A/KLHL22/KNL1/L3MBTL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MCMDC2/MEI1/MEIOSIN/MIS12/MLH1/MLH3/MOV10L1/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDEL1/NEUROG1/NFIB/NSMCE2/NUMA1/NUP62/PKMYT1/PPP2R2D/PRDM9/PSMA8/RAB24/RAD21/RAD51AP1/RAD54B/RAN/RANBP1/RCC1/RHOA/RMDN1/RMI1/RNF212/RPL10L/SEH1L/SIRT7/SKA1/SKA3/SLC25A31/SLX4/SMARCA5/SMC4/SPAST/SPATA22/SPC24/SPDL1/SPICE1/SPIRE2/SPO11/STAG1/STAG2/STAG3/SYCE1/TENT4A/TEX15/TOP6BL/TUBB8/TUBG1/TUBG2/UBB/UBE2I/UBE2S/UHRF1/VPS4B/WAPL/ZCWPW1/ZNF541/ZWINT",135
"GO:0033044","regulation of chromosome organization","82/3301","244/18860",0.336065573770492,1.92008382953998,6.66300866574012,7.63965616200845e-10,7.55248500619578e-07,6.6689872509444e-07,"ACD/ACTB/ACTR8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/APC/ARID1B/ATM/BCL7A/BCL7B/BUB3/CCNB1/CCT3/CCT5/CDC6/CDK1/CENPF/CHFR/DDX11/DKC1/DPF2/ERCC4/FBXO5/GEN1/HASPIN/HNRNPA1/HNRNPU/HSP90AA1/INO80C/INO80E/KLHL22/KNL1/LIG4/MAD1L1/MAD2L1/MAP2K7/MAPT/NABP2/NAT10/NCAPD3/NCAPH/NEK6/NSMCE2/NSMCE3/NSMCE4A/NUMA1/PARN/PARP1/PARP3/PKIB/PML/PPP1R10/PTGES3/RAD21/RIOK2/RNF4/RTEL1/SETMAR/SIRT6/SKA1/SKA3/SLX4/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SMC5/SMC6/SMG6/SPC24/SPDL1/TNKS2/UPF1/WAPL/XRCC1/YLPM1/YY1/ZWINT",82
"GO:1901990","regulation of mitotic cell cycle phase transition","109/3301","357/18860",0.305322128851541,1.74443361106939,6.54079079963272,8.64835515186823e-10,7.55248500619578e-07,6.6689872509444e-07,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANAPC7/ANLN/APC/APPL2/ARID1B/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CCNB1/CCND1/CCND3/CCNE2/CCNH/CDC14A/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN2A/CDKN2C/CENPF/CHFR/CPSF3/DACT1/DDX3X/DPF2/DTL/ERCC2/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXO4/FZR1/GEN1/HASPIN/ID2/INHBA/INTS3/KANK2/KCNH5/KLHL22/KNL1/MAD1L1/MAD2L1/MARK3/MEPCE/MRNIP/NABP2/NAE1/NEK6/NEUROG1/NSMCE2/PABIR1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/PPP2CA/PRKDC/PRMT2/RAD21/RBBP8/RBL2/RCC2/RIOK2/SENP2/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPC24/SPDL1/TAOK1/TAOK2/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UIMC1/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",109
"GO:0007098","centrosome cycle","57/3301","150/18860",0.38,2.17109966676765,6.63275331280671,1.87938226497811e-09,1.4360829732264e-06,1.26808845457997e-06,"ARHGEF10/AURKA/BNIP2/BRSK1/C2CD3/CCDC102B/CCNF/CDK1/CDK11A/CDK11B/CEP120/CEP192/CEP250/CEP295/CEP44/CEP63/CEP72/CHD3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CNTLN/CNTROB/DCTN1/DEUP1/DNM2/FBXW5/GADD45A/GEN1/HAUS3/HAUS6/KIF11/KIF3A/MDM1/NAT10/NDEL1/NPM1/NUBP1/NUP62/PARD6B/PARD6G/PDCD6IP/PKD2/PLK4/POC1A/PPP1R12A/RANBP1/RBM14/SLC16A1/SPICE1/SSX2IP/TRIM37/VPS4B/XRCC2",57
"GO:1901987","regulation of cell cycle phase transition","133/3301","468/18860",0.284188034188034,1.62368564822367,6.29311183892242,2.35483442352462e-09,1.59945587011178e-06,1.41234981565313e-06,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANAPC7/ANLN/APBB2/APC/APPL2/ARID1B/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CAMSAP3/CCNB1/CCND1/CCND3/CCNE2/CCNH/CCNQ/CDC14A/CDC14B/CDC25B/CDC25C/CDC45/CDC5L/CDC6/CDC7/CDC73/CDK1/CDK10/CDK16/CDK17/CDK2AP2/CDKN2A/CDKN2C/CDT1/CENPF/CEP63/CHFR/CLOCK/CPSF3/CRY1/DACT1/DDX3X/DNA2/DPF2/DTL/ERCC2/ERCC6/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HORMAD1/ID2/INHBA/INTS3/INTS7/KANK2/KCNH5/KLHL22/KNL1/MAD1L1/MAD2L1/MARK3/MEPCE/MRNIP/NABP2/NAE1/NEK6/NEUROG1/NPM1/NSMCE2/NSUN2/PABIR1/PAXIP1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/PPP1R10/PPP2CA/PRKDC/PRMT2/RAD21/RAD9A/RASSF1/RBBP8/RBL2/RCC2/RIOK2/SENP2/SETMAR/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPC24/SPDL1/TAOK1/TAOK2/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UIMC1/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",133
"GO:0050684","regulation of mRNA processing","53/3301","139/18860",0.381294964028777,2.17849834037647,6.42337246613758,5.97929459224895e-09,3.27647631310677e-06,2.89319061768475e-06,"ALKBH5/C1QBP/CCNB1/CDC73/CDK11A/CDK11B/CELF4/CIRBP/DAZAP1/DHX9/DYRK1A/FMR1/HDAC7/HNRNPA1/HNRNPK/HNRNPL/HNRNPU/IWS1/KHDRBS1/KHDRBS3/LARP7/NCL/NOVA1/NPM1/PTBP1/QKI/RBFOX1/RBM14/RBM19/RBM23/RBM42/RNPS1/SAFB/SAFB2/SAP18/SLTM/SNRNP70/SNW1/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF5/SRSF6/SRSF9/TIA1/TRA2A/U2AF2/UPF1/YTHDC1/ZFP36L1",53
